MSN,PAX
BAM480301088,2
BMXM851NY105,1
BMXM851NY105,1
BMXM851NY105,0
BMXM851NY105,0
BMXM851NY105,0
BMXM851NY105,0
BMXM851NY105,0
BMXM851NY105,0
BMXM851NY105,0
BMXM851NY105,0
BMXM852NY106,1
BMXM852NY106,1
BMXM852NY106,1
BMXM852NY106,1
BMXM852NY106,1
BMXM852NY106,1
BMXM852NY106,1
BMXM852NY106,1
BMXM852NY106,1
BMXM852NY106,1
BMXM852NY106,1
BMXM852NY106,1
BMXM951NY091,57
BMXM951NY091,57
BMXM952NY097,174
BMXM952NY097,178
BMXM952NY097,178
BMXM952NY097,179
BMXM952NY097,179
BMXM954NY100,91
BMXM954NY100,92
BMXM954NY100,86
BMXM954NY100,129
BMXM954NY100,129
BMXM954NY100,129
BMXM954NY100,129
BMXM954NY100,129
BMXM955NY099,195
BMXM955NY099,208
BMXM955NY099,203
BMXM955NY099,204
BMXM955NY099,204
BMXM955NY099,206
BMXM955NY099,206
BMXM955NY099,206
BMXM956NY099,18
BMXM956NY099,18
BMXM956NY099,18
BMXM956NY102,49
BMXM956NY102,51
BMXM956NY102,26
BMXM956NY102,26
BMXM956NY102,26
BMXM958NY107,130
BMXM958NY107,149
BMXM958NY107,149
BMXM958NY107,174
BMXM958NY107,174
BMXM958NY107,174
BMXM958NY107,174
BMXM958NY107,173
BMXM958NY107,173
BMXM958NY107,173
BMXM958NY107,173
BMXM958NY107,173
BMXM958NY107,173
BMXM958NY107,278
BMXM959NY108,295
BMXM959NY108,263
BMXM959NY108,148
BMXM959NY108,151
BMXM959NY109,151
BMXM959NY109,112
BMXM959NY109,112
BMXM959NY109,112
BMXM959NY109,151
BMXM959NY109,166
BMXM959NY109,166
BMXM959NY109,152
BMXM959NY109,152
BMXM959NY109,152
BMXM959NY109,152
BMXM959NY109,152
BMXM959NY109,152
BMXM959NY109,152
BMXM959NY109,152
BMXM959NY109,152
BMXM959NY109,152
BMXM959NY109,291
BMXN960NY111,38
BMXN960NY111,38
BMXN960NY111,21
BMXN960NY111,39
BMXN960NY111,39
BMXN960NY111,39
BMXN960NY111,39
BMXN960NY111,39
BMZM9373C121,2
BMZM9373C121,2
BMZM9376C125,2
BMZM9376C125,2
